RNQA,CORPODAGUA,PERIODO,PARAMETRO,N_VALIDO,MEDIA,MEDIANA,DESVIO_PADRAO,MINIMO,MAXIMO
MA-7185-I-3,RIO TAPUIO,3.0,PH,2,6.880000000000001,6.880000000000001,0.8485281374238575,6.28,7.48
MA-7185-I-3,RIO TAPUIO,4.0,PH,2,5.98,5.98,0.8909545442950506,5.35,6.61
MA-7185-I-3,RIO TAPUIO,5.0,PH,2,5.82,5.82,2.2061731573020285,4.26,7.38
MA-7185-I-3,RIO TAPUIO,6.0,PH,2,6.4,6.4,0.31112698372208086,6.18,6.62
MA-7185-I-3,RIO TAPUIO,7.0,PH,1,6.64,6.64,,6.64,6.64
MA-7185-I-3,RIO TAPUIO,8.0,PH,1,7.21,7.21,,7.21,7.21
MA-7185-I-3,RIO TAPUIO,9.0,PH,2,6.955,6.955,0.049497474683058526,6.92,6.99
MA-7185-I-3,RIO TAPUIO,10.0,PH,2,6.98,6.98,0.11313708498984676,6.9,7.06
MA-7185-I-3,RIO TAPUIO,,PH,1,7.25,7.25,,7.25,7.25
MA-7185-I-5,RIO PIRAPEMAS,3.0,PH,2,6.93,6.93,0.5232590180780453,6.56,7.3
MA-7185-I-5,RIO PIRAPEMAS,4.0,PH,2,6.465,6.465,0.049497474683058526,6.43,6.5
MA-7185-I-5,RIO PIRAPEMAS,5.0,PH,2,7.135,7.135,0.2616295090390223,6.95,7.32
MA-7185-I-5,RIO PIRAPEMAS,6.0,PH,2,6.539999999999999,6.539999999999999,0.028284271247461613,6.52,6.56
MA-7185-I-5,RIO PIRAPEMAS,7.0,PH,2,6.375,6.375,0.34648232278140845,6.13,6.62
MA-7185-I-5,RIO PIRAPEMAS,8.0,PH,2,6.635,6.635,0.19091883092036754,6.5,6.77
MA-7185-I-5,RIO PIRAPEMAS,9.0,PH,2,7.145,7.145,0.14849242404917465,7.04,7.25
MA-7185-I-5,RIO PIRAPEMAS,10.0,PH,2,5.99,5.99,0.6222539674441614,5.55,6.43
MA-7185-I-6,RIO ITAPECURU,7.0,PH,2,7.035,7.035,0.049497474683058526,7.0,7.07
MA-7185-I-6,RIO ITAPECURU,8.0,PH,1,6.92,6.92,,6.92,6.92
MA-7185-I-6,RIO ITAPECURU,9.0,PH,2,6.890000000000001,6.890000000000001,0.02828427124746224,6.87,6.91
MA-7185-I-6,RIO ITAPECURU,10.0,PH,2,6.695,6.695,1.053589103967956,5.95,7.44
MA-7185-I-7,RIO ITAPECURU,3.0,PH,2,7.154999999999999,7.154999999999999,0.07778174593052013,7.1,7.21
MA-7185-I-7,RIO ITAPECURU,4.0,PH,2,7.359999999999999,7.359999999999999,0.014142135623730963,7.35,7.37
MA-7185-I-7,RIO ITAPECURU,6.0,PH,2,7.55,7.55,0.12727922061357835,7.46,7.64
MA-7185-I-7,RIO ITAPECURU,7.0,PH,2,7.585,7.585,0.44547727214752547,7.27,7.9
MA-7185-I-7,RIO ITAPECURU,8.0,PH,2,6.975,6.975,0.41719300090006295,6.68,7.27
MA-7185-I-7,RIO ITAPECURU,9.0,PH,1,7.28,7.28,,7.28,7.28
MA-7185-I-7,RIO ITAPECURU,10.0,PH,2,5.375,5.375,1.9728279195104672,3.98,6.77
MA-7185-I-8,RIO ITAPECURU,5.0,PH,2,6.75,6.75,0.0,6.75,6.75
MA-7185-I-8,RIO ITAPECURU,6.0,PH,2,7.18,7.18,0.33941125496954283,6.94,7.42
MA-7185-I-8,RIO ITAPECURU,7.0,PH,2,7.215,7.215,0.16263455967290624,7.1,7.33
MA-7185-I-8,RIO ITAPECURU,8.0,PH,1,7.25,7.25,,7.25,7.25
MA-7185-I-8,RIO ITAPECURU,9.0,PH,2,6.785,6.785,0.23334523779156074,6.62,6.95
MA-7185-I-8,RIO ITAPECURU,10.0,PH,2,6.87,6.87,0.24041630560342606,6.7,7.04
MA-7185-I-9,RIO ITAPECURU,5.0,PH,2,7.885,7.885,0.8131727983645302,7.31,8.46
MA-7185-I-9,RIO ITAPECURU,6.0,PH,2,6.975,6.975,0.5303300858899106,6.6,7.35
MA-7187-I-1,RIO ITAPECURU,,PH,2,6.695,6.695,0.6434671708797584,6.24,7.15
MA-7187-I-11,RIO ITAPECURU,10.0,PH,1,6.51,6.51,,6.51,6.51
MA-7187-I-2,RIO ITAPECURU,10.0,PH,1,6.62,6.62,,6.62,6.62
MA-7187-I-4,RIO ALPERCATAS,10.0,PH,1,6.14,6.14,,6.14,6.14
MA-7187-I-4,RIO ITAPECURU,,PH,2,6.885,6.885,0.34648232278140845,6.64,7.13
MA-7189-I-4,RIO ITAPECURU,10.0,PH,1,6.34,6.34,,6.34,6.34
MA-7191-IE-4,RIO ITAPECURU,1.0,PH,1,8.29,8.29,,8.29,8.29
MA-7191-IE-4,RIO ITAPECURU,2.0,PH,2,4.0,4.0,0.8626702730475883,3.39,4.61
MA-7191-IE-4,RIO ITAPECURU,3.0,PH,2,7.755,7.755,0.2192031021678301,7.6,7.91
MA-7191-IE-4,RIO ITAPECURU,4.0,PH,2,6.895,6.895,0.5727564927611035,6.49,7.3
MA-7191-IE-4,RIO ITAPECURU,5.0,PH,2,7.87,7.87,0.0424264068711932,7.84,7.9
MA-7191-IE-4,RIO ITAPECURU,6.0,PH,1,6.02,6.02,,6.02,6.02
MA-7191-IE-4,RIO ITAPECURU,7.0,PH,2,7.3,7.3,0.6646803743153543,6.83,7.77
MA-7191-IE-4,RIO ITAPECURU,8.0,PH,2,6.57,6.57,2.0647518010647183,5.11,8.03
